sorting_algorithm,num_trials,sequence_type,size,time,avg_time,standard_deviation
merge_sort,10,random,100,2025-03-22 13:41:38,0.00030524730682373046,0.0004663276406386475
merge_sort,10,random,500,2025-03-22 13:41:38,0.000957489013671875,0.0005921971864642303
merge_sort,10,random,1000,2025-03-22 13:41:38,0.0015704631805419922,0.0005230335149936878
merge_sort,10,random,3000,2025-03-22 13:41:38,0.006095027923583985,0.0005748520659449792
merge_sort,10,random,5000,2025-03-22 13:41:39,0.010805821418762207,0.0004290350969374244
merge_sort,10,random,7000,2025-03-22 13:41:39,0.015778565406799318,0.0008655793882565711
merge_sort,10,random,10000,2025-03-22 13:41:39,0.023846650123596193,0.0012699254304116398
merge_sort,10,random,20000,2025-03-22 13:41:40,0.05230565071105957,0.001803416343957096
merge_sort,10,random,30000,2025-03-22 13:41:41,0.07958519458770752,0.001894363141103115
merge_sort,10,random,40000,2025-03-22 13:41:42,0.11083652973175048,0.002861689745070737
merge_sort,10,random,50000,2025-03-22 13:41:44,0.13909616470336914,0.0068636074736200155
merge_sort,10,increasing,100,2025-03-22 13:41:44,0.00010440349578857421,0.00031321048736572267
merge_sort,10,increasing,500,2025-03-22 13:41:44,0.0006482124328613282,0.0005325106456754794
merge_sort,10,increasing,1000,2025-03-22 13:41:44,0.0011138677597045898,0.00011657573642690074
merge_sort,10,increasing,3000,2025-03-22 13:41:44,0.005075907707214356,0.000645443195154545
merge_sort,10,increasing,5000,2025-03-22 13:41:44,0.009192085266113282,0.00046807424787935383
merge_sort,10,increasing,7000,2025-03-22 13:41:44,0.013109183311462403,0.0006773451477290085
merge_sort,10,increasing,10000,2025-03-22 13:41:44,0.019934678077697755,0.0010389613747300197
merge_sort,10,increasing,20000,2025-03-22 13:41:45,0.04355387687683106,0.0022261972770402354
merge_sort,10,increasing,30000,2025-03-22 13:41:46,0.06892008781433105,0.004582461797877405
merge_sort,10,increasing,40000,2025-03-22 13:41:47,0.09729642868041992,0.003380696688206674
merge_sort,10,increasing,50000,2025-03-22 13:41:49,0.1295419692993164,0.011051395094685593
merge_sort,10,decreasing,100,2025-03-22 13:41:49,0.0001993894577026367,0.0003987789189688657
merge_sort,10,decreasing,500,2025-03-22 13:41:49,0.0010135650634765625,3.103121993169307e-05
merge_sort,10,decreasing,1000,2025-03-22 13:41:49,0.0010483503341674806,1.1479031354040744e-05
merge_sort,10,decreasing,3000,2025-03-22 13:41:49,0.006640625,0.00204252235414343
merge_sort,10,decreasing,5000,2025-03-22 13:41:49,0.009927463531494141,0.0011876166790466649
merge_sort,10,decreasing,7000,2025-03-22 13:41:49,0.015008163452148438,0.002952123800756675
merge_sort,10,decreasing,10000,2025-03-22 13:41:49,0.02016277313232422,0.00083813151854804
merge_sort,10,decreasing,20000,2025-03-22 13:41:50,0.046727871894836424,0.0085273030775733
merge_sort,10,decreasing,30000,2025-03-22 13:41:51,0.0789762258529663,0.01241178153647866
merge_sort,10,decreasing,40000,2025-03-22 13:41:52,0.10085594654083252,0.007924001503476698
merge_sort,10,decreasing,50000,2025-03-22 13:41:54,0.11950075626373291,0.006861775920944383
merge_sort,10,a_shaped,100,2025-03-22 13:41:54,0.00010464191436767578,0.00031392574310302735
merge_sort,10,a_shaped,500,2025-03-22 13:41:54,0.000894618034362793,0.00047082345456331954
merge_sort,10,a_shaped,1000,2025-03-22 13:41:54,0.0012836456298828125,0.00041977100623727593
merge_sort,10,a_shaped,3000,2025-03-22 13:41:54,0.0051812887191772464,0.00043996163365754353
merge_sort,10,a_shaped,5000,2025-03-22 13:41:54,0.009829306602478027,0.001064912475519454
merge_sort,10,a_shaped,7000,2025-03-22 13:41:54,0.013640713691711426,0.000869579995400688
merge_sort,10,a_shaped,10000,2025-03-22 13:41:54,0.020087194442749024,0.0008614315390361487
merge_sort,10,a_shaped,20000,2025-03-22 13:41:55,0.045569443702697755,0.0026726386769358682
merge_sort,10,a_shaped,30000,2025-03-22 13:41:56,0.06805341243743897,0.002677245366596234
merge_sort,10,a_shaped,40000,2025-03-22 13:41:57,0.09629383087158203,0.0058390064291943865
merge_sort,10,a_shaped,50000,2025-03-22 13:41:59,0.1244499683380127,0.008013527485665995
merge_sort,10,v_shaped,100,2025-03-22 13:41:59,0.00019936561584472657,0.00039873128871374447
