sorting_algorithm,num_trials,sequence_type,size,time,avg_time
shell_sort,10,decreasing,30000,2025-03-15 14:44:12,0.037709403038024905
shell_sort,10,decreasing,40000,2025-03-15 14:44:13,0.05131640434265137
shell_sort,10,decreasing,50000,2025-03-15 14:44:14,0.0657810926437378
shell_sort,10,a_shaped,100,2025-03-15 14:44:14,0.00011899471282958985
shell_sort,10,a_shaped,500,2025-03-15 14:44:14,0.00020911693572998047
shell_sort,10,a_shaped,1000,2025-03-15 14:44:14,0.0009568214416503906
shell_sort,10,a_shaped,3000,2025-03-15 14:44:14,0.0033384323120117187
shell_sort,10,a_shaped,5000,2025-03-15 14:44:14,0.006225013732910156
shell_sort,10,a_shaped,7000,2025-03-15 14:44:14,0.009592485427856446
shell_sort,10,a_shaped,10000,2025-03-15 14:44:14,0.01432816982269287
shell_sort,10,a_shaped,20000,2025-03-15 14:44:15,0.03100743293762207
shell_sort,10,a_shaped,30000,2025-03-15 14:44:15,0.0489710807800293
shell_sort,10,a_shaped,40000,2025-03-15 14:44:16,0.07303979396820068
shell_sort,10,a_shaped,50000,2025-03-15 14:44:18,0.09650518894195556
shell_sort,10,v_shaped,100,2025-03-15 14:44:18,0.0
shell_sort,10,v_shaped,500,2025-03-15 14:44:18,0.0003159046173095703
shell_sort,10,v_shaped,1000,2025-03-15 14:44:18,0.0007632970809936523
shell_sort,10,v_shaped,3000,2025-03-15 14:44:18,0.003633284568786621
shell_sort,10,v_shaped,5000,2025-03-15 14:44:18,0.006279182434082031
shell_sort,10,v_shaped,7000,2025-03-15 14:44:18,0.010462069511413574
shell_sort,10,v_shaped,10000,2025-03-15 14:44:18,0.015120244026184082
shell_sort,10,v_shaped,20000,2025-03-15 14:44:19,0.032307553291320804
shell_sort,10,v_shaped,30000,2025-03-15 14:44:19,0.05175154209136963
shell_sort,10,v_shaped,40000,2025-03-15 14:44:20,0.07068421840667724
shell_sort,10,v_shaped,50000,2025-03-15 14:44:21,0.0912630796432495
quick_sort_iteracyjnie,10,random,100,2025-03-18 18:56:51,0.0001994609832763672
quick_sort_iteracyjnie,10,random,500,2025-03-18 18:56:51,0.0005564212799072266
